time,detector[0]
10,0.000000e+00
20,0.000000e+00
30,0.000000e+00
40,0.000000e+00
50,0.000000e+00
60,0.000000e+00
70,0.000000e+00
80,0.000000e+00
90,0.000000e+00
100,0.000000e+00
110,0.000000e+00
120,0.000000e+00
130,0.000000e+00
140,0.000000e+00
150,0.000000e+00
160,0.000000e+00
170,0.000000e+00
180,0.000000e+00
190,0.000000e+00
200,0.000000e+00
210,0.000000e+00
220,0.000000e+00
230,0.000000e+00
240,0.000000e+00
250,0.000000e+00
260,0.000000e+00
270,0.000000e+00
280,0.000000e+00
290,0.000000e+00
300,0.000000e+00
310,0.000000e+00
320,0.000000e+00
330,0.000000e+00
340,0.000000e+00
350,0.000000e+00
360,0.000000e+00
370,0.000000e+00
380,0.000000e+00
390,0.000000e+00
400,0.000000e+00
410,0.000000e+00
420,0.000000e+00
430,0.000000e+00
440,0.000000e+00
450,0.000000e+00
460,0.000000e+00
470,0.000000e+00
480,0.000000e+00
490,0.000000e+00
500,0.000000e+00
510,0.000000e+00
520,0.000000e+00
530,0.000000e+00
540,0.000000e+00
550,0.000000e+00
560,0.000000e+00
570,0.000000e+00
580,0.000000e+00
590,0.000000e+00
600,0.000000e+00
610,0.000000e+00
620,0.000000e+00
630,0.000000e+00
640,1.170045e-03
650,0.000000e+00
660,0.000000e+00
670,0.000000e+00
680,0.000000e+00
690,0.000000e+00
700,0.000000e+00
710,0.000000e+00
720,0.000000e+00
730,0.000000e+00
740,0.000000e+00
750,0.000000e+00
760,0.000000e+00
770,0.000000e+00
780,0.000000e+00
790,0.000000e+00
800,0.000000e+00
810,0.000000e+00
820,0.000000e+00
830,0.000000e+00
840,0.000000e+00
850,0.000000e+00
860,0.000000e+00
870,0.000000e+00
880,0.000000e+00
890,0.000000e+00
900,0.000000e+00
910,0.000000e+00
920,0.000000e+00
930,0.000000e+00
940,0.000000e+00
950,0.000000e+00
960,0.000000e+00
970,0.000000e+00
980,0.000000e+00
990,0.000000e+00
1000,0.000000e+00
1010,0.000000e+00
1020,0.000000e+00
1030,0.000000e+00
1040,0.000000e+00
1050,0.000000e+00
1060,0.000000e+00
1070,0.000000e+00
1080,0.000000e+00
1090,0.000000e+00
1100,0.000000e+00
1110,0.000000e+00
1120,0.000000e+00
1130,0.000000e+00
1140,0.000000e+00
1150,0.000000e+00
1160,0.000000e+00
1170,0.000000e+00
1180,0.000000e+00
1190,0.000000e+00
1200,0.000000e+00
1210,0.000000e+00
1220,0.000000e+00
1230,0.000000e+00
1240,0.000000e+00
1250,0.000000e+00
1260,0.000000e+00
1270,0.000000e+00
1280,0.000000e+00
1290,0.000000e+00
1300,0.000000e+00
1310,0.000000e+00
1320,0.000000e+00
1330,0.000000e+00
1340,0.000000e+00
1350,0.000000e+00
1360,0.000000e+00
